x,y,x,y,Name,Genes
16.9842,3.7712805,8.171718,7.303403,ADH N,MECR ADH1C ADH1B ADH1A SORD ADH6 ADH7 VAT1 CRYZ ADH4 ADH5 ZADH2 TP53I3 RTN4IP1 VAT1L 
12.929559,2.0068822,8.595261,7.7788954,AIG1,GIMAP1 GIMAP2 GIMAP4 GIMAP5 GIMAP6 GIMAP7 GIMAP8 GIMD1 
18.234962,1.8987199,9.67026,10.558244,AMP-binding C,SLC27A2 SLC27A1 ACSS3 ACSM4 ACSM3 ACSL1 ACSM1 ACSM2A ACSM2B ACSM5 ACSF3 ACSF2 ACSS2 SLC27A4 SLC27A3 ACSS1 SLC27A6 SLC27A5 
17.949148,1.4774214,9.153075,11.323237,ANATO,C4B C5 FBLN2 C4B_2 C4A C3 
16.675634,4.475873,7.083919,6.767445,ARID,KDM5B KDM5C KDM5D ARID5A ARID5B ARID4A ARID3A ARID4B ARID3B ARID1A ARID3C ARID1B JARID2 KDM5A ARID2 
16.354328,-0.24384908,9.563342,10.842937,ATP-gua Ptrans,CKMT2 CKM CKMT1B CKMT1A CKB 
18.181608,3.046441,9.111975,8.383362,ATP-gua PtransN,CKMT2 CKM CKMT1B CKMT1A CKB 
17.72734,1.7118224,4.6099524,10.088655,ATP-synt ab,ATP6V1A ATP5F1A ATP5F1B ATP6V1B1 ATP6V1B2 
18.307856,2.2144709,9.790159,9.838827,ATP-synt ab N,ATP6V1A ATP5F1A ATP5F1B ATP6V1B1 ATP6V1B2 
17.545923,3.5544174,9.365445,11.138242,AWS,NSD1 NSD2 NSD3 ASH1L SETD2 
17.98305,3.6647666,7.7194066,6.8756356,A deaminase,ADAL AMPD1 AMPD2 AMPD3 ADA ADA2 
13.244934,2.3522406,7.0430274,12.118688,Abhydrolase 1,ABHD1 ABHD5 ABHD4 ABHD3 ABHD2 EPHX2 EPHX4 ABHD8 ABHD6 BPHL LIPA SERHL LIPF LIPK ABHD16B ABHD10 ABHD16A LIPN SERHL2 LIPM MEST SPG21 
17.198458,4.252293,7.647081,12.193383,Abhydrolase 3,AADACL3 AADACL4 NCEH1 LIPE AFMID AADAC AADACL2 
17.862919,2.9208083,8.408306,11.881158,Abhydrolase 6,ABHD11 PPME1 EPHX3 ABHD14B ABHD14A 
17.841976,0.5796142,8.791304,7.260099,Activin recp,ACVR1 BMPR2 AMHR2 TGFBR1 ACVR1B ACVR2B BMPR1A ACVR2A BMPR1B 
17.460205,-0.09699047,8.74529,11.697952,Acyl-CoA dh 1,ACAD9 ACAD8 ACOXL ACADVL ACADM ACADL IVD ACAD10 ACADSB ACAD11 ACADS GCDH 
17.483732,3.3323462,8.92265,11.670775,Acyl-CoA dh M,ACAD9 ACAD8 ACADVL ACADSB ACOXL ACADM ACOX3 ACADL ACOX2 ACOX1 IVD ACAD10 ACAD11 ACADS GCDH 
18.409388,1.7478362,9.147416,11.236989,Acyl-CoA dh N,ACAD9 ACAD8 ACADVL ACADM ACADL IVD ACAD10 ACADSB ACAD11 ACADS GCDH 
17.434402,0.6835725,5.1486707,7.733299,AhpC-TSA,PRDX4 PRDX3 PRDX6 PRDX2 PRDX1 
15.092106,-0.7470486,9.657301,9.293857,AlbA 2,SLFN13 SLFN14 SLFN11 SLFN12 SLFN5 SLFNL1 SLFN12L 
16.616056,3.8569703,8.7465315,11.606629,Aldo ket red,AKR1D1 AKR1E2 AKR1B1 AKR1C2 AKR1C1 AKR1C4 KCNAB1 AKR1C3 AKR1A1 KCNAB2 KCNAB3 AKR7L AKR7A2 AKR7A3 AKR1B15 AKR1C8P AKR1B10 GCLM 
17.842022,1.9430268,4.5264683,8.467692,Alpha-amylase,AMY2A AMY2B AMY1A AMY1B AMY1C GBE1 SLC3A1 SLC3A2 
18.272549,1.1995058,9.148348,11.45289,Alpha-amylase C,AMY2A AMY2B AMY1A AMY1B AMY1C GBE1 
15.473702,-0.7004368,9.204447,8.878614,Alpha-mann mid,MAN2A2 MAN2C1 MAN2B2 MAN2A1 MAN2B1 
13.0305605,2.1083171,4.721537,8.878364,Alpha adaptinC2,GGA3 GGA2 AP1G1 AP1G2 AP2B1 AP1B1 AP2A2 AP2A1 GGA1 
13.390182,2.7886264,5.046044,8.79962,Amidohydro 1,DPYSL2 GDA DPYSL5 CAD AMDHD1 DPYS AMDHD2 DPYSL3 DPYSL4 CRMP1 
13.865324,3.3747103,8.015642,11.886671,Amino oxidase,IL4I1 KDM1A KDM1B SMOX RNLS MAOB PYROXD2 MAOA PAOX PPOX 
12.681782,1.2472497,9.704481,9.9211035,Aminotran 1 2,GOT1L1 ALAS2 AADAT GOT2 ALAS1 GOT1 KYAT1 GPT2 TAT ACCSL GPT ACCS GCAT SPTLC1 SPTLC2 SPTLC3 KYAT3 
17.497536,0.22897874,5.3685594,10.984267,Aminotran 3,OAT PHYKPL AGXT2 ABAT ETNPPL 
13.895561,-0.4353319,5.851819,7.123335,Aminotran 5,NFS1 PSAT1 MOCOS KYNU SCLY AGXT 
13.846837,3.4764662,5.7881017,11.269271,An peroxidase,DUOX1 DUOX2 TPO PXDN PXDNL MPO LPO EPX PTGS1 PTGS2 
14.046007,-0.5346012,8.214501,11.850239,Anticodon 1,VARS LARS2 LARS IARS IARS2 VARS2 
15.883973,4.428166,8.9706335,11.399197,Arf,ARL11 ARL10 ARL15 ARL16 ARL14 ARL17A ARL4D ARL4C ARL8A ARL4A ARL8B ARF6 ARF4 ARF5 ARL9 SAR1A ARF3 SAR1B ARL6 ARF1 ARL2 ARL3 ARL1 ARL17B ARL5C ARFRP1 ARL13A ARL13B ARL5A ARL5B TRIM23 
17.620543,3.1044257,8.477047,11.74097,ArfGap,ARAP3 ARAP1 ARAP2 ADAP2 ADAP1 ARFGAP2 ARFGAP3 ARFGAP1 SMAP1 ACAP3 ACAP2 AGAP6 AGAP9 SMAP2 AGAP7P AGAP11 AGAP3 AGAP2 ASAP2 AGAP5 ASAP3 AGAP4 ACAP1 AGAP1 ASAP1 AGFG1 GIT2 AGFG2 GIT1 
13.20977,2.4712079,6.3323245,11.818072,Arfaptin,ICA1L PICK1 ARFIP2 ARFIP1 ICA1 
12.971078,0.23142941,9.234184,11.261903,ArgoL1,PIWIL2 AGO4 AGO2 AGO3 AGO1 PIWIL1 
15.00886,4.2534447,4.867553,9.80806,Arrestin C,ARRDC5 ARRDC1 ARRB1 ARRDC2 ARRDC3 ARRDC4 TXNIP SAG ARRB2 ARR3 
16.041988,-0.65080076,9.347287,9.030632,Arrestin N,ARRDC5 ARRDC1 ARRB1 ARRDC2 ARRDC3 ARRDC4 TXNIP SAG ARRB2 ARR3 
14.377926,-0.4631602,7.0180764,11.985489,Astacin,BMP1 MEP1B ASTL MEP1A TLL2 TLL1 
13.42182,2.2515168,4.7011685,9.504842,Atg8,MAP1LC3A GABARAP GABARAPL3 GABARAPL2 MAP1LC3C GABARAPL1 MAP1LC3B MAP1LC3B2 
16.41086,-0.4329583,5.552901,7.733954,BAAT C,ACOT2 ACOT1 ACOT6 BAAT ACOT4 
18.03773,2.3929906,6.260733,11.926761,BACK,KLHL26 BTBD19 KLHL28 BTBD17 KLHL29 KLHL2 BTBD6 KLHL22 KLHL23 KLHL3 KLHL4 KLHL24 KLHL5 KLHL25 BTBD7 BTBD9 KLHL20 KBTBD12 KLHL21 KLHL1 KBTBD4 KBTBD6 KBTBD7 KLHL6 KLHL7 KLHL8 KBTBD2 KLHL9 KBTBD3 KBTBD8 IVNS1ABP KLHL38 KEAP1 KLHL33 IPP KLHL34 KLHL35 KLHL36 KLHL30 KLHL31 KLHL32 CCIN KLHL40 KLHL41 KLHL42 GAN KLHL15 KLHL17 KLHL18 LGALS3BP KLHL11 KLHL12 KLHL13 KLHL14 GMCL1 KLHL10 BTBD2 BTBD1 ENC1 BTBD3 
17.366459,1.2202362,7.233707,11.9175005,BAH,BAHCC1 MTA1 RERE MTA2 BAHD1 PBRM1 ORC1 TNRC18 ASH1L MTA3 DNMT1 
14.680133,-0.6697893,5.836825,11.177556,BAR,SH3GLB2 BARGIN SH3GLB1 ARHGAP17 ARHGAP44 DNMBP BIN3 SH3BP1 BIN2 BIN1 SH3GL1 AMPH SH3GL3 SH3GL2 
17.997398,2.4837027,8.77283,11.548531,BEN,NACC1 NACC2 BEND4 BEND5 BEND2 BEND3 BEND6 BANP BEND7 
16.614927,-0.03659396,9.011422,11.353873,BIR,XIAP BIRC5 BIRC6 BIRC7 BIRC8 BIRC2 NAIP BIRC3 
15.09367,-0.5756325,4.9423847,10.300744,BRICHOS,SFTPC GKN2 GKN1 TNMD ITM2A ITM2B GKN3P ITM2C CNMD BRICD5 
17.824064,1.6794498,8.851586,11.815523,BRK,CHD9 CHD8 CHD7 SMARCA2 SMARCA4 
17.40088,1.8667816,5.7661157,11.338834,BRO1,BROX RHPN2 RHPN1 RHPN2P1 PTPN23 PDCD6IP 
15.279021,4.126606,4.9508104,9.50669,BTB,ZBTB18 KLHL26 BTBD18 BTBD19 ZBTB14 ZBTB17 ANKFY1 KLHL28 ZBTB16 BTBD17 KLHL29 BTBD6 KLHL22 ZBTB11 KLHL23 ZBTB10 KLHL24 BTBD8 KLHL25 BTBD7 ZBTB12 BTBD11 BTBD9 KLHL20 HIC2 KLHL21 HIC1 LZTR1 IVNS1ABP ZBTB26 ZBTB25 KLHL38 KEAP1 ZBTB22 IPP KLHL34 ZBTB21 KLHL35 ZBTB24 KLHL36 BACH1 KLHL30 BACH2 KLHL31 ZBTB20 KLHL32 SLX4 NACC1 NACC2 SPOP ZBTB7A IBTK ABTB2 ABTB1 ZBTB8B ZBTB8A ZNF131 KLHL15 KLHL17 KLHL18 ZBTB2 KLHL11 KLHL12 ZBTB1 KLHL13 KLHL14 ZBTB6 ZBTB5 GMCL1 RHOBTB1 RCBTB1 ZBTB4 RHOBTB2 RCBTB2 GMCL2 KLHL10 RHOBTB3 ZBTB3 BTBD2 BTBD1 BTBD3 ZBTB7C ZBTB7B PATZ1 KLHL2 KLHL3 KLHL4 KLHL5 KBTBD12 KBTBD11 KLHL1 KBTBD4 ZBTB9 KBTBD6 KBTBD7 KLHL6 KLHL7 BCL6 KLHL8 KBTBD2 KLHL9 KBTBD3 BCL6B SPOPL KBTBD8 MYNN KBTBD13 CCIN ZBTB37 ZBTB39 ZBTB38 ZBTB33 ZBTB32 ZBTB34 KLHL40 KLHL41 GAN GZF1 ZBTB48 ZBTB47 ZBTB49 ZBTB44 ZBTB43 ZBTB46 ZBTB45 ZBTB40 ZBTB42 ZBTB41 ENC1 
14.520915,4.0693393,6.259279,11.373793,BTB 2,KCNF1 KCNB1 KCNB2 KCNRG KCNS1 KCNS2 KCNS3 KCNG1 KCNG2 KCNG3 KCNG4 KCNC1 KCNC2 KCNC3 KCNC4 TNFAIP1 KCND1 KCND2 KCND3 KCTD1 KCTD2 KCTD3 KCTD4 KCTD5 KCTD6 KCTD7 KCTD8 KCTD9 KCTD10 KCTD11 SHKBP1 KCTD14 KCNA10 KCTD15 KCTD12 KCTD13 KCTD18 KCTD19 KCTD16 KCTD17 KCNA1 KCNA2 KCNA3 KCNA4 KCNA5 KCNA6 KCNA7 KCNV1 KCNV2 KCTD21 
17.47966,2.519956,8.240279,11.965505,Band 3 cyto,SLC4A8 SLC4A9 SLC4A1 SLC4A2 SLC4A3 SLC4A10 SLC4A4 SLC4A5 SLC4A7 
17.827572,2.5699143,8.911384,8.449664,Biotin carb C,PC PCCA MCCC1 ACACB ACACA 
17.650023,0.9110463,8.765207,11.379012,Biotin carb N,PC PCCA MCCC1 ACACB ACACA 
16.232927,-0.5373827,8.755229,11.285087,Biotin lipoyl,PC DBT PCCA MCCC1 PDHX DLST DLAT ACACB ACACA 
15.818027,-0.6463287,7.730951,11.956349,Brix,IMP4 PPAN BRIX1 RPF1 RPF2 
14.401489,3.133256,8.234297,11.525792,Bromodomain,BPTF ATAD2 BRD4 CREBBP BRD3 BRPF1 BRD2 BRD1 BRPF3 PBRM1 ASH1L BAZ1A BAZ1B SMARCA2 SMARCA4 TAF1 KAT2B KAT2A PHIP ZMYND11 BRWD1 SP140L TRIM33 BRWD3 BRDT ZMYND8 BAZ2A BAZ2B ATAD2B TAF1L CECR2 EP300 SP140 BRD9 BRD8 TRIM66 BRD7 TRIM24 
17.824352,1.6282831,6.8815722,11.635442,C1-set,TAPBP AZGP1 HLA-DRA IGHE HLA-DQB1 IGHD HLA-DQB2 HFE SIRPB1 TRBC1 IGKC TRBC2 TRDC B2M HLA-DOB IGHA2 MICA MICB HLA-DQA2 HLA-DOA IGHA1 HLA-DQA1 HLA-DRB5 IGLC6 IGLC7 HLA-C NCR3LG1 MR1 HLA-A HLA-B HLA-G HLA-H HLA-E HLA-F IGLL5 IGLL1 HLA-DPB1 HLA-DRB4 HLA-DRB3 HLA-DRB1 IGHM HHLA2 SIRPG TAPBPL CD1E CD1D CD1C CD1B CD1A IGHG4 TRGC1 TRGC2 FCGRT HLA-DMB IGHG2 IGHG3 IGHG1 SIRPA HLA-DPA1 IGLC2 IGLC3 HLA-DMA IGLC1 
16.81014,2.370231,8.5613985,11.13726,C1 1,UNC13C UNC13A UNC13B CDC42BPG ARHGAP29 BRAF CDC42BPB DEF8 CDC42BPA VAV1 VAV2 VAV3 RAF1 DGKH DGKG DGKE DGKD DGKB DGKA ARAF RACGAP1 PRKCH PRKCG PRKCI PRKCD STAC PRKCE PRKCB PRKCA DGKZ PRKCZ STAC2 DGKQ STAC3 PRKD1 PRKD3 PRKCQ PRKD2 DGKK DGKI ARHGEF28 RASGRP3 RASGRP2 RASGRP4 RASGRP1 RASSF5 CHN2 CHN1 PDZD8 
14.23837,-0.5285453,8.515837,11.363998,C1q,CBLN1 C1QL1 ADIPOQ C1QL4 C1QTNF9B C1QL3 OTOL1 C1QL2 MMRN2 MMRN1 CAPRIN2 COL8A1 COL8A2 CBLN4 CBLN3 CBLN2 C1QC C1QB C1QA C1QTNF5 C1QTNF4 C1QTNF3 C1QTNF2 C1QTNF9 C1QTNF8 C1QTNF7 C1QTNF6 COL10A1 EMILIN2 EMILIN1 C1QTNF1 
15.353494,-0.42620838,7.9487987,11.465392,C2,UNC13C PLCL1 UNC13D UNC13A UNC13B PLCL2 SYTL2 SYTL1 RPGRIP1L SYTL5 TC2N SYTL4 SYTL3 TOLLIP PLCD1 PLCD4 PLCD3 CPNE9 CPNE6 CPNE5 CPNE8 CEP120 CPNE7 HECW1 SYT14P1 RAB11FIP1 RAB11FIP2 CAPN6 CPNE2 PLCE1 CPNE1 CPNE4 CPNE3 RAB11FIP5 FER1L4 SYT6 PRKCH SYT5 PRKCG SYT4 FER1L6 SYT3 FER1L5 SYT2 PLA2G4E PLA2G4F SYT1 PLA2G4D PRKCE PLA2G4A PLA2G4B PRKCB PRKCA SYT9 SYT8 SYT7 BCR HECW2 DOC2B DOC2A ITSN1 ITSN2 NEDD4L PRF1 RIMS3 ABR RIMS2 RGS3 RIMS4 RIMS1 PLCG1 PLCG2 RPH3A RASA4B PLCH1 SMURF2 SMURF1 MYOF BAIAP3 RASA1 RPGRIP1 RASA4 RASA2 RASA3 PLCH2 CC2D1A CC2D1B MCTP1 MCTP2 C2CD5 C2CD3 C2CD2 RASAL1 C2CD4C RASAL2 C2CD4D PLCZ1 CCDC33 CC2D2A OTOF WWP1 SYT17 SYT16 SYT15 SYT14 ITCH DAB2IP PLCB4 SYT13 ESYT1 SYT12 SYT11 SYT10 ESYT3 ESYT2 PLCB2 PLCB3 DYSF PIK3C2G PIK3C2B PIK3C2A PCLO SYNGAP1 
17.66413,1.322205,7.5185313,11.788859,C2-set 2,CADM4 KIRREL2 CADM2 SIGLEC14 MCAM CADM3 KIRREL1 CRTAM CADM1 BTN1A1 PDCD1LG2 CD200R1 BCAM NPHS1 MAG SIGLEC1 NECTIN1 NECTIN4 NECTIN3 CD22 NECTIN2 CD274 CD80 PVR AGER ALCAM TMEM25 CD200R1L 
17.361746,0.911331,8.510774,11.435183,C4,COL4A1 COL4A3 COL4A2 COL4A5 COL4A4 COL4A6 
13.575918,-0.1640992,8.22995,11.42288,C8,MUC5B VWF MUC19 ZAN MUC5AC FCGBP OTOGL MUC2 BMPER SSPO OTOG MUC6 TECTA 
16.189226,-0.2897072,7.834248,12.047451,CAMSAP CH,CAMSAP1 VAV1 VAV2 CAMSAP2 VAV3 CAMSAP3 
17.182268,0.56741536,8.556487,11.404378,CAP,CRISP2 CRISP3 GLIPR1L1 CRISP1 R3HDML CLEC18C CLEC18B CLEC18A GLIPR2 GLIPR1 CRISPLD2 CRISPLD1 PI16 PI15 GLIPR1L2 
13.659306,2.6601994,8.309439,11.863921,CAP GLY,CLIP4 CLIP3 CLIP2 CYLD CLIP1 KIF13B TBCE CEP350 DCTN1 TBCB 
17.963678,0.86369,5.3527737,10.647301,CARD,CARD10 CARD11 APAF1 CARD9 CRADD CARD8 CARD6 CARD18 CARD16 CARD17 CARD14 BIRC2 BIRC3 NOL3 BCL10 NOD1 NOD2 NLRC4 PYCARD CASP9 CASP12 CASP4 CASP5 CASP2 RIPK2 NLRP1 CASP1 
16.64257,0.43000418,5.4442143,7.614225,CBFD NFYB HMF,CHRAC1 DR1 NFYB NFYC POLE3 POLE4 DRAP1 
13.620391,2.5515516,6.2181373,11.369704,CBM 21,PPP1R3G PPP1R3D PPP1R3C PPP1R3F PPP1R3E PPP1R3B PPP1R3A 
13.987965,2.433736,5.123752,10.78951,CBS,PRKAG2 CBSL PRKAG3 CLCNKB CLCNKA PRKAG1 CLCN4 CLCN3 CLCN7 CLCN6 CBS CNNM1 CLCN5 CNNM2 IMPDH1 IMPDH2 CNNM3 CNNM4 
17.521427,1.6582905,5.5458536,8.455175,CENP-B N,TIGD4 TIGD3 TIGD6 JRK TIGD5 TIGD7 JRKL CENPBD1 CENPB TIGD2 TIGD1 
17.303993,0.5625541,8.010261,7.5236273,CENP-T C,HIST1H4L HIST2H4B HIST1H4A HIST2H4A HIST1H4B HIST1H4C HIST4H4 HIST1H4H HIST1H4I HIST1H4J HIST1H4K HIST1H4D HIST1H4E HIST1H4F CENPT 
13.818371,2.5937274,8.0386,11.747696,CH,ACTN4 ACTN3 ACTN2 ACTN1 MICAL3 NAV2 PARVB NAV3 LMO7 SPTB PARVA LRCH1 LRCH3 LRCH2 LCP1 EHBP1L1 PARVG GAS2 PLEC LRCH4 UTRN ARHGEF6 ARHGEF7 SPTBN4 SPTBN5 TAGLN IQGAP1 IQGAP2 IQGAP3 MICALL1 MICALL2 FLNA FLNB FLNC GAS2L2 GAS2L3 SPTBN1 SPTBN2 GAS2L1 SPECC1 LIMCH1 DST ASPM EHBP1 SMTN SPECC1L TAGLN2 TAGLN3 MAPRE2 MAPRE3 SMTNL1 MAPRE1 SMTNL2 MACF1 SYNE1 DIXDC1 SYNE2 CNN3 CNN2 CNN1 CLMN MICAL2 MICAL1 DMD PLS1 PLS3 
14.43575,3.686458,8.289244,11.543803,CHCH,CHCHD5 NDUFA8 CHCHD4 COX19 CHCHD10 CHCHD1 CHCHD2 
14.388647,3.260506,7.0482993,7.2592893,CIDE-N,DFFB DFFA CIDEB CIDEC CIDEA 
16.011501,-0.27804342,7.5784364,11.802455,CLTH,RMND5A RMND5B GID8 MAEA RANBP9 RANBP10 
13.979322,2.5979338,6.0410523,11.447439,COMM domain,COMMD9 COMMD10 COMMD3 COMMD4 COMMD1 COMMD2 COMMD7 COMMD8 COMMD5 COMMD6 
14.72741,3.6818087,7.903354,11.686079,COesterase,ACHE CES1 BCHE NLGN2 NLGN4X NLGN3 NLGN4Y NLGN1 CES1P1 CEL CES5A CES4A TG CES3 CES2 
15.084661,3.7665625,5.85217,10.9869995,CPSase L D2,PC CAD CPS1 PCCA MCCC1 ACACB ACACA 
17.478226,1.4093003,8.176,11.340195,CRAL TRIO,TRIO MOSPD2 KALRN RLBP1 SEC14L3 SEC14L4 SEC14L1 SEC14L2 SEC14L5 TTPA SEC14L6 PTPN9 TTPAL CLVS1 CLVS2 
15.680458,-0.014092929,7.1079082,7.0324345,CRAL TRIO 2,ARHGAP8 MCF2L2 MCF2L MCF2 BNIP2 PRUNE2 NF1 SESTD1 ARHGAP1 ATCAY GDAP2 BNIPL 
14.320436,-0.35193768,8.617166,11.392842,CRAL TRIO N,SEC14L1 SEC14L5 TTPA TTPAL CLVS1 RLBP1 CLVS2 
13.669782,2.542106,8.0013275,11.473484,CS,NUDC CYB5R4 NUDCD3 CHORDC1 NUDCD2 DNAAF4 PTGES3 NUDCD1 SUGT1 CACYBP ITGB1BP2 USP19 
15.523604,-0.14661844,8.411725,11.372415,CSD,LIN28A LIN28B CSDC2 YBX1 CSDE1 YBX3 YBX2 CARHSP1 
14.04448,3.114982,6.7122035,11.644373,CTP transf like,PCYT1A PCYT1B NMNAT2 PCYT2 NMNAT1 NMNAT3 COASY 
16.850504,0.34359494,6.134455,8.207231,CUB,CUBN ATRNL1 OVCH2 ST14 OVCH1 KREMEN2 PCOLCE KREMEN1 DCBLD1 DCBLD2 TMPRSS15 SEZ6L ATRN MFRP CDCP2 BMP1 TLL2 MASP2 TLL1 PCOLCE2 MEGF8 LRP10 LRP12 NRP1 NRP2 C1R MASP1 C1S TMPRSS7 TNFAIP6 PDGFC LRP3 SEZ6L2 SEZ6 CUZD1 SCUBE3 SCUBE1 SCUBE2 NETO2 NETO1 ADGRG6 DMBT1 PDGFD C1RL PAMR1 CSMD3 CSMD2 CSMD1 
16.158422,1.2361914,6.6752186,7.4677987,CUT,CUX2 ONECUT3 SATB1 SATB2 CUX1 ONECUT1 ONECUT2 
15.3777275,-0.23867576,6.620733,11.412068,Ca chan IQ,CACNA1A CACNA1S CACNA1C CACNA1B CACNA1E CACNA1D CACNA1F 
15.228229,3.9277573,7.054439,11.797493,Cadherin,PCDH8 PCDH20 PCDH9 PCDHA13 PCDHA12 PCDHA11 PCDHA10 PCDHGA10 PCDHGA11 PCDHGA12 PCDHB3 PCDHB2 PCDHB1 PCDHB7 PCDHB6 PCDHB5 DCHS2 DCHS1 PCDHB4 DSC1 DSC2 DSC3 PCDHB9 PCDHB8 CELSR1 CELSR2 CELSR3 CDH9 CDH8 CDH7 CDH6 CDH5 CDH4 CDH3 CDH2 CDH1 CDHR1 CDH10 CDH11 CDHR2 FAT1 CDHR3 CDH12 CDH13 CDHR4 FAT2 FAT3 FAT4 CDH15 CDH16 CDH17 CDH18 CDH19 PCDHB18P CLSTN3 PCDH12 PCDH10 CLSTN1 PCDH11X CLSTN2 PCDH11Y PCDH15 PCDH19 PCDH18 PCDH17 PCDHAC1 CDH20 PCDHA2 PCDHA1 CDH22 CDH23 CDH24 PCDHA6 PCDHA5 CDH26 PCDHA4 PCDHA3 PCDHA9 PCDHA8 PCDHA7 PCDHAC2 PCDHGA9 PCDHGA8 PCDHGA7 PCDHGA6 PCDHGA5 PCDHGA4 PCDHGA3 PCDHGA2 PCDHGB2 DSG1 PCDHGB1 DSG2 DSG3 DSG4 RET PCDHGA1 PCDHGC5 PCDHGC4 PCDHB16 PCDHB15 PCDHB14 PCDHB13 PCDHB12 PCDHB11 PCDHB10 PCDHGB7 PCDHGB6 PCDHGB5 PCDHGB4 PCDHGB3 PCDHGC3 PCDH7 PCDH1 
14.572657,-0.3034907,6.993159,11.555031,Cadherin 2,PCDHGA9 PCDHGA8 PCDHGA7 PCDHGA6 PCDHGA5 PCDHGA4 PCDH8 PCDHGA3 PCDH9 PCDHGA2 PCDHA13 PCDHA12 PCDHA11 PCDHA10 PCDHGA10 PCDHGA11 PCDHGA12 PCDHB3 PCDHB2 PCDHB1 PCDHGB2 PCDHB7 PCDHGB1 PCDHB6 PCDHB5 PCDHB4 PCDHB9 PCDHB8 PCDHGA1 PCDHGC5 PCDHGC4 PCDHB16 PCDHB15 PCDHB14 PCDHB13 PCDHB12 PCDHB11 PCDHB10 PCDHGB7 PCDHB18P PCDHGB6 PCDH12 PCDHGB5 PCDH10 PCDH11X PCDHGB4 PCDH11Y PCDHGB3 PCDH19 PCDH18 PCDH17 PCDHAC1 PCDHA2 PCDHA1 PCDHA6 PCDHGC3 PCDH7 PCDHA5 PCDHA4 PCDHA3 PCDHA9 PCDHA8 PCDHA7 PCDHAC2 PCDH1 
15.620699,-0.35447678,6.485303,11.385411,Cadherin pro,CDH4 CDH2 CDH1 CDH13 DSC1 DSC2 DSC3 
